date,iso_code,continent,location,population,median_age, GDP_Per_Capita
2021,UKR,Europe,Ukraine,43466822,41.4,7894.393
2022,UKR,Europe,Ukraine,43466822,41.4,7894.393
2020,ARE,Asia,United Arab Emirates,9991083,34,67293.483
2021,ARE,Asia,United Arab Emirates,9991083,34,67293.483
2022,ARE,Asia,United Arab Emirates,9991083,34,67293.483
2020,GBR,Europe,United Kingdom,68207114,40.8,39753.244
2021,GBR,Europe,United Kingdom,68207114,40.8,39753.244
2022,GBR,Europe,United Kingdom,68207114,40.8,39753.244
2020,USA,North America,United States,332915074,38.3,54225.446
2021,USA,North America,United States,332915074,38.3,54225.446
2022,USA,North America,United States,332915074,38.3,54225.446
2020,URY,South America,Uruguay,3485152,35.6,20551.409
2021,URY,South America,Uruguay,3485152,35.6,20551.409
2022,URY,South America,Uruguay,3485152,35.6,20551.409
2020,UZB,Asia,Uzbekistan,33935765,28.2,6253.104
2021,UZB,Asia,Uzbekistan,33935765,28.2,6253.104
2022,UZB,Asia,Uzbekistan,33935765,28.2,6253.104
2020,VUT,Oceania,Vanuatu,314464,23.1,2921.909
2021,VUT,Oceania,Vanuatu,314464,23.1,2921.909
2022,VUT,Oceania,Vanuatu,314464,23.1,2921.909
2020,VEN,South America,Venezuela,28704947,29,16745.022
2021,VEN,South America,Venezuela,28704947,29,16745.022
2022,VEN,South America,Venezuela,28704947,29,16745.022
2020,VNM,Asia,Vietnam,98168829,32.6,6171.884
2021,VNM,Asia,Vietnam,98168829,32.6,6171.884
2022,VNM,Asia,Vietnam,98168829,32.6,6171.884
2020,YEM,Asia,Yemen,30490639,20.3,1479.147
2021,YEM,Asia,Yemen,30490639,20.3,1479.147
2022,YEM,Asia,Yemen,30490639,20.3,1479.147
2020,ZMB,Africa,Zambia,18920657,17.7,3689.251
2021,ZMB,Africa,Zambia,18920657,17.7,3689.251
2022,ZMB,Africa,Zambia,18920657,17.7,3689.251
2020,ZWE,Africa,Zimbabwe,15092171,19.6,1899.775
2021,ZWE,Africa,Zimbabwe,15092171,19.6,1899.775
2022,ZWE,Africa,Zimbabwe,15092171,19.6,1899.775
